Question,Option A,Option B,Categories,Work Safe,Mature,Shape,Why It Works
Is hiding money stuff as bad as cheating?,As bad,Not close,Money; Relationships; Ethics,FALSE,FALSE,BELIEF,Financial infidelity splits couples
A DNA test exposes an old family secret. Tell the family?,Tell,Keep quiet,Family; Ethics; Deep,FALSE,FALSE,GREY,Truth bomb vs family peace
Do you always wash your hands after the bathroom at home?,Yes,No,Confession; Health & Wellness,FALSE,FALSE,CONFESS,The honest ones say no
Is a 15-year age gap between partners fine?,Fine,Too much,Sex & Dating; Norms,FALSE,FALSE,NORM,"Everyone judges, plenty have done it"
Could you stay after a one-time affair?,Yes,No,Relationships; Trust; Emotion,FALSE,FALSE,MIRROR,Forgiveness splits every room
Have you ever cried at work?,Yes,No,Work; Emotion; Confession,FALSE,FALSE,CONFESS,"About half say yes, quietly"
Have you ever gotten back together with an ex?,Yes,No,Sex & Dating; Relationships,FALSE,FALSE,CONFESS,Surveys: about 44% have retried an ex
Do you think a friend has secretly had a crush on you?,Definitely,Doubt it,Relationships; Self; Psychology,FALSE,FALSE,MIRROR,Paranoia game energy; self-flattery splits
Have you ever jiggled your mouse to look active online?,Yes,No,Work; Technology; Confession,FALSE,FALSE,CONFESS,Green dot theater
Have you ever lied about why you canceled plans?,Yes,No,Social; Confession,FALSE,FALSE,CONFESS,The cover story is a social institution
Have you ever taken office supplies home on purpose?,Yes,No,Work; Ethics; Confession,FALSE,FALSE,CONFESS,Petty theft everyone rationalizes
Have you ever played dumb so someone else would do the task?,Yes,No,Confession; Psychology; Work,FALSE,FALSE,CONFESS,"Weaponized incompetence, confessed"
Have you ever drunk-texted someone you shouldn't have?,Yes,No,Vices; Sex & Dating; Confession,FALSE,FALSE,CONFESS,Late-night thumbs betray many
Do you secretly enjoy drama as long as it's not yours?,Yes,No,Confession; Social; Psychology,FALSE,FALSE,CONFESS,Spectators outnumber admitters
Have you ever claimed an allergy that's really just a dislike?,Yes,No,Food & Drink; Confession,FALSE,FALSE,CONFESS,The white lie that clears plates
Have you ever screened a call from close family on purpose?,Yes,No,Family; Communication; Confession,FALSE,FALSE,CONFESS,"Love them, just not right now"
Have you ever swiped further than you were shown on someone's phone?,Yes,No,Confession; Etiquette; Technology,FALSE,FALSE,CONFESS,The forbidden extra swipe
Have you ever lied to a doctor about how much you drink?,Yes,No,Health & Wellness; Vices; Confession,FALSE,FALSE,CONFESS,'Socially' does heavy lifting
Have you ever eaten a housemate's food and said nothing?,Yes,No,Home; Food & Drink; Confession,FALSE,FALSE,CONFESS,"Fridge mysteries, solved"
Have you ever felt a flash of glee at a friend's small failure?,Yes,No,Confession; Dark; Emotion,FALSE,FALSE,CONFESS,Schadenfreude among friends
Have you ever secretly thrown out something a family member kept?,Yes,No,Family; Home; Confession,FALSE,FALSE,CONFESS,Declutter crimes go unreported
Have you ever saved a contact under an insulting nickname?,Yes,No,Humor; Communication; Confession,FALSE,FALSE,CONFESS,Phone books are full of petty
Have you ever hidden fast food evidence before getting home?,Yes,No,Food & Drink; Vices; Confession,FALSE,FALSE,CONFESS,The drive-thru cover-up
Have you ever lied about your salary?,Yes,No,Money; Confession,FALSE,FALSE,CONFESS,"Up or down, most have adjusted it"
Have you ever looked up the price of a gift you received?,Yes,No,Money; Etiquette; Confession,FALSE,FALSE,CONFESS,Curiosity vs gratitude
Have you ever upgraded your weekend story to sound less boring?,Yes,No,Social; Confession; Humor,FALSE,FALSE,CONFESS,'It was crazy' meant one beer
Have you ever damaged something and quietly said nothing?,Yes,No,Confession; Ethics,FALSE,FALSE,CONFESS,The unclaimed scratch epidemic
Have you ever hoped an ex's new relationship would fail?,Yes,No,Dark; Sex & Dating,FALSE,FALSE,CONFESS,"Petty, private, near universal"
Have you ever kept a relationship secret from your family?,Yes,No,Family; Relationships,FALSE,FALSE,CONFESS,More common than families realize
Have you ever kissed a friend and pretended it never happened?,Yes,No,Sex & Dating; Confession,FALSE,FALSE,CONFESS,Every friend group has one
Have you ever gone on a date mainly for the free meal?,Yes,No,Sex & Dating; Money,FALSE,FALSE,CONFESS,Splits the table and starts a fight
Is there someone from your past you'd drop everything for?,Yes,No,Sex & Dating; Deep,FALSE,FALSE,CONFESS,The one that got away test
Have you ever wished a partner would dump you first?,Yes,No,Relationships; Dark,FALSE,FALSE,CONFESS,Breakup cowardice everyone knows
Have you ever kept someone interested with no plan to date them?,Yes,No,Sex & Dating; Dark,FALSE,FALSE,CONFESS,The breadcrumbing confession
Have you ever thought about what you'll inherit?,Yes,No,Dark; Money; Family,FALSE,FALSE,CONFESS,The calculation everyone denies making
Have you ever been kept up at night by fear of death?,Yes,No,Dark; Deep,FALSE,FALSE,CONFESS,"The 3am dread feels solitary, isn't"
Have you ever stayed with someone who cheated on you?,Yes,No,Relationships; Confession,FALSE,FALSE,CONFESS,Stigma hides how common it is
Have you ever hidden debt from someone close to you?,Yes,No,Money; Confession,FALSE,FALSE,CONFESS,Money shame runs deeper than sex shame
Have you ever lied in a job interview?,Yes,No,Work; Confession,FALSE,FALSE,CONFESS,Everyone polished the truth once
Have you ever acted sadder about a death than you felt?,Yes,No,Dark; Confession,FALSE,FALSE,CONFESS,Performed grief is a taboo truth
Would you be honest if your partner's outfit looked bad?,Yes,No,Relationships; Communication; Ethics,FALSE,FALSE,GREY,Their feelings now vs the photos forever
Would you write a glowing reference for a mediocre friend?,Yes,No,Work; Ethics; Relationships,FALSE,FALSE,GREY,Loyalty to friends vs honesty to strangers
Is it okay to pretend you never saw a text?,Yes,No,Communication; Ethics; Norms,FALSE,FALSE,GREY,The modern white lie everyone suspects
Would you hide a small flaw when selling something used?,Yes,No,Ethics; Money; Consumer,FALSE,FALSE,GREY,Buyer beware vs seller's conscience
Would you tell the full truth in an exit interview?,Yes,No,Work; Ethics; Communication,FALSE,FALSE,GREY,Burn nothing vs say what everyone thinks
Would you hide an occasional cigarette from your partner?,Yes,No,Vices; Relationships; Confession,FALSE,FALSE,GREY,Your body vs their trust
Would you risk a great friendship for a shot at romance?,Yes,No,Relationships; Risk,FALSE,FALSE,GREY,The gamble everyone weighs once
Would you tell a friend they're marrying the wrong person?,Yes,No,Ethics; Relationships,FALSE,FALSE,GREY,Speak now or forever shut up
Would you tell your kid they were unplanned if they asked?,Yes,No,Family; Confession,FALSE,FALSE,GREY,Radical honesty or kind fiction
Would you leave a difficult parent off your wedding guest list?,Yes,No,Family; Etiquette,FALSE,FALSE,GREY,"One day of peace, lasting rift"
Would you marry someone rich you didn't love?,Yes,No,Money; Values,FALSE,FALSE,GREY,Comfort is its own romance
Would you work for a company you find immoral for double pay?,Yes,No,Work; Ethics,FALSE,FALSE,GREY,Everyone has a number
Is having a 'work spouse' harmless?,Yes,No,Work; Relationships,FALSE,FALSE,NORM,Support system or slow fuse
Could you stay close friends with a serial cheater?,Yes,No,Relationships; Values,FALSE,FALSE,GREY,"Their sins, your company"
Would you rather date a messy partner or a stingy one?,Messy,Stingy,Relationships; Money; Habits,FALSE,FALSE,TRADE,Forces a dealbreaker ranking
Would you rather one drink every day or one big night a month?,Daily drink,Monthly bender,Vices; Habits,FALSE,FALSE,TRADE,Two drinking philosophies collide
Would you rather give up swearing or drinking?,Swearing,Drinking,Vices; Habits,FALSE,FALSE,TRADE,Which habit is load-bearing
Would you rather your last 10 texts go to your boss or your mom?,My boss,My mom,Confession; Communication; Humor,FALSE,FALSE,TRADE,Depends entirely what you sent
Would you rather be stuck in an elevator with an ex or your boss?,An ex,My boss,Social; Work; Sex & Dating,FALSE,FALSE,TRADE,A taste test in awkward
Would you rather a partner who flirts with everyone or suspects everyone?,Flirty,Jealous,Relationships; Trust,FALSE,FALSE,TRADE,Pick your insecurity
Would you rather naps at work be normal or drinks at lunch?,Naps at work,Lunch drinks,Work; Norms; Vices,FALSE,FALSE,TRADE,Which taboo would you legalize
Would you rather quit with nothing lined up or stay two unhappy years?,Quit now,Stay two years,Work; Risk,FALSE,FALSE,TRADE,"Leap or grind, no third door"
Would you rather sleep in a stranger's bed or have one sleep in yours?,Their bed,My bed,Habits; Humor; Psychology,FALSE,FALSE,TRADE,Germ logic isn't logical
Would you rather a rich loveless marriage or a broke passionate one?,Rich loveless,Broke passionate,Money; Relationships; Values,FALSE,FALSE,TRADE,"Romantics vs realists, honest split"
Would you rather know the day your relationship ends or be blindsided?,Know the day,Blindsided,Relationships; Dark,FALSE,FALSE,TRADE,Dread now or devastation later
Would you rather meet your soulmate at 70 or settle for great at 30?,Soulmate at 70,Great at 30,Relationships; Deep,FALSE,FALSE,TRADE,Patience vs pragmatism
Would you rather spend the afterlife with all your family or five people you pick?,All family,My five picks,Dark; Family; Belief,FALSE,FALSE,TRADE,The guest list confession
Would you want to know which friends would skip your funeral?,Yes,No,Dark; Trust; Social,FALSE,FALSE,TRADE,Truth about your circle
"If reincarnation is real, would you want to keep your memories?",Yes,No,Belief; Dark; Deep,FALSE,FALSE,TRADE,Fresh start vs continuity
Would you rather your partner stay close with an ex or flirt lightly at work?,Ex friendship,Work flirting,Sex & Dating; Trust,FALSE,FALSE,TRADE,Which threat feels real
Would you rather be someone's midlife crisis or their rebound?,Midlife crisis,Rebound,Sex & Dating; Humor,FALSE,FALSE,TRADE,"Both flattering, both damning"
Would you rather your worst ex find happiness or find karma?,Happiness,Karma,Sex & Dating; Dark; Confession,FALSE,FALSE,TRADE,Maturity vs honesty
Would you rather never attend another funeral or another wedding?,Skip funerals,Skip weddings,Dark; Norms,FALSE,FALSE,TRADE,Duty vs celebration
Would you rather live next to a graveyard or a strip club?,Graveyard,Strip club,Home; Dark; Humor,FALSE,FALSE,TRADE,Quiet dead or loud living
Is a two-drink work lunch living well or a liability?,Living well,A liability,Work; Vices; Debate,FALSE,FALSE,NORM,Old-school class vs HR instincts
Is swearing in front of kids a big deal?,Yes,No,Family; Norms; Debate,FALSE,FALSE,NORM,"Words are words, or standards slip"
Is 'taking a break' just a breakup in denial?,Yes,No,Relationships; Sex & Dating; Debate,FALSE,FALSE,BELIEF,Hope vs honesty about the end
Is filtering dates by height fair or shallow?,Fair,Shallow,Sex & Dating; Debate,FALSE,FALSE,TASTE,Preference or prejudice
Is farting in front of a partner a milestone or a mistake?,Milestone,Mistake,Relationships; Humor,FALSE,FALSE,TASTE,Intimacy unlocked or mystery lost
Is a nude beach an adventure or a nightmare?,Adventure,Nightmare,Travel; Adventure; Humor,FALSE,FALSE,TASTE,Liberation or too much information
Are tattoos more attractive than bare skin?,Yes,No,Style; Sex & Dating; Debate,FALSE,FALSE,TASTE,Ink adds or ink distracts
Is monogamy natural for humans?,Yes,No,Belief; Sex & Dating; Science,FALSE,FALSE,BELIEF,Biology vs commitment worldview
Do people cheat because of the relationship or their character?,Relationship,Character,Belief; Psychology; Relationships,FALSE,FALSE,BELIEF,Blame the person or the pairing
Do most people settle for their partner?,Yes,No,Belief; Relationships; Dark,FALSE,FALSE,BELIEF,Quiet cynicism reveal
Would most coworkers throw you under the bus to save themselves?,Yes,No,Belief; Work; Trust,FALSE,FALSE,BELIEF,Office trust barometer
Is being bad with money a character flaw?,Yes,No,Belief; Money; Values,FALSE,FALSE,BELIEF,Judgment of the broke
Do diets actually work long term?,Yes,No,Belief; Health & Wellness,FALSE,FALSE,BELIEF,Willpower vs biology
Do people end up marrying someone like their parent?,Yes,No,Belief; Family; Psychology,FALSE,FALSE,BELIEF,Freud at the dinner table
Is it okay to date a friend's sibling?,Yes,No,Sex & Dating; Relationships,FALSE,FALSE,NORM,The family off-limits rule divides
Is it okay to fudge a kid's age for cheaper tickets?,Yes,No,Money; Family; Ethics,FALSE,FALSE,NORM,Tiny fraud many parents commit
Is it okay to ask why someone isn't drinking?,Yes,No,Vices; Social; Etiquette,FALSE,FALSE,NORM,Innocent or deeply invasive
Is it okay to use a partner's toothbrush in a pinch?,Yes,No,Relationships; Health & Wellness; Norms,FALSE,FALSE,NORM,"You kiss them, but still no"
Is it okay to say 'let's stay friends' when you don't mean it?,Yes,No,Sex & Dating; Communication; Ethics,FALSE,FALSE,NORM,Soft landing vs false hope
Is it okay to ask about wanting kids on a first date?,Yes,No,Sex & Dating; Family; Communication,FALSE,FALSE,NORM,Dealbreaker triage vs too heavy
Is a 2am 'you up' text ever okay?,Yes,No,Sex & Dating; Communication; Etiquette,FALSE,FALSE,NORM,"Booty call etiquette, debated"
Is it okay to leave a toothbrush at a new partner's place uninvited?,Yes,No,Sex & Dating; Norms; Humor,FALSE,FALSE,NORM,The great escalation test
Is it okay to block an ex with zero warning?,Yes,No,Relationships; Technology; Etiquette,FALSE,FALSE,NORM,Clean break vs cruel
Should exes share custody of a pet?,Yes,No,Relationships; Norms; Humor,FALSE,FALSE,NORM,The dog didn't break up
Is it ever okay to mention a partner's weight?,Yes,No,Relationships; Communication; Health & Wellness,FALSE,FALSE,NORM,Care vs cruelty tightrope
Is it okay to stay together just for the kids?,Yes,No,Relationships; Family; Values,FALSE,FALSE,NORM,Stability vs modeling misery
Is it okay to dump someone over how they vote?,Yes,No,Relationships; Values; Debate,FALSE,FALSE,NORM,Values vs tolerance
Do you eavesdrop on strangers' conversations on purpose?,Yes,No,Social; Confession,FALSE,FALSE,HABIT,Public spaces are free theater to some
Do you mute friends instead of unfollowing them?,Yes,No,Social; Technology,FALSE,FALSE,HABIT,"The polite ghost move, rarely admitted"
Do you sneak naps during work-from-home days?,Yes,No,Work; Confession,FALSE,FALSE,HABIT,WFH's worst-kept secret
Do you pad your time estimates at work on purpose?,Yes,No,Work; Confession,FALSE,FALSE,HABIT,"Underpromise, quietly coast"
Do you clear your search history regularly?,Yes,No,Technology; Confession,FALSE,FALSE,HABIT,Tidy trails vs nothing to hide
Do you still use gifts an ex gave you?,Yes,No,Relationships; Habits,FALSE,FALSE,HABIT,"It's just a good blender, right"
Do you drink before arriving at a party?,Yes,No,Vices; Social,FALSE,FALSE,HABIT,Pregamers vs arrive-sober types
Do you glance into lit windows on an evening walk?,Yes,No,Confession; Social,FALSE,FALSE,HABIT,Harmless peek or creepy habit
Do you gossip less than the people around you?,Yes,No,Social; Confession; Self,FALSE,FALSE,MIRROR,Somehow nobody here is the gossip
Are you a better kisser than most people?,Yes,No,Sex & Dating; Self,FALSE,FALSE,MIRROR,Nobody volunteers to be the bad kisser
Are you better at hiding a hangover than most people?,Yes,No,Vices; Work; Self,FALSE,FALSE,MIRROR,Everyone thinks nobody noticed
Are you a better liar than most people?,Yes,No,Confession; Trust; Self,FALSE,FALSE,MIRROR,Bad liars are the most confident
Have you ever said 'almost done' about something you hadn't started?,Yes,No,Work; Confession,FALSE,FALSE,CONFESS,Optimistic status reporting
Have you ever claimed you never got an email you ignored?,Yes,No,Work; Communication; Confession,FALSE,FALSE,CONFESS,Inbox plausible deniability
Have you ever slowed down on a task because finishing early means more work?,Yes,No,Work; Confession,FALSE,FALSE,CONFESS,Pace management
Have you ever blamed your own smell on something else?,Yes,No,Humor; Confession,FALSE,FALSE,CONFESS,The oldest cover story there is
Have you ever tested a partner's loyalty on purpose?,Yes,No,Relationships; Trust; Dark,FALSE,FALSE,CONFESS,Secret tests are surprisingly common
Is showing up to family events a little high okay?,Yes,No,Vices; Family,FALSE,FALSE,GREY,Coping tool or disrespect
Is drinking alone a red flag or just relaxing?,Red flag,Relaxing,Vices; Habits,FALSE,FALSE,NORM,"Depends on the night, or you"
Is a 'both single at 40' marriage pact sweet or a red flag?,Sweet,Red flag,Sex & Dating; Fun,FALSE,FALSE,NORM,A backup plan says something
Would you date your friend's divorced parent?,Yes,No,Sex & Dating; Relationships,FALSE,FALSE,GREY,Love or a friendship grenade
Would you rather a partner with a rich ex or a gorgeous ex?,Rich ex,Gorgeous ex,Sex & Dating; Psychology,FALSE,FALSE,TRADE,Reveals which ghost haunts you
Would you rather guests snoop your medicine cabinet or your nightstand?,Medicine cabinet,Nightstand,Home; Confession; Humor,FALSE,FALSE,TRADE,Which drawer is worse for you
Would you rather accidentally like your ex's old photo or your crush's?,My ex's,My crush's,Sex & Dating; Technology; Humor,FALSE,FALSE,TRADE,Which cringe is fatal
Would you rather confess every lie you've told or never tell another?,Confess all,Never lie again,Ethics; Confession,FALSE,FALSE,TRADE,Pay for the past or the future
Would you want to know exactly how attractive strangers find you?,Yes,No,Self; Psychology,FALSE,FALSE,TASTE,Vanity vs self preservation
Is a couples' shower romantic or just cramped?,Romantic,Cramped,Relationships; Humor; Debate,FALSE,FALSE,TASTE,Movie fantasy meets elbow reality
Is Botox self-care or denial?,Self-care,Denial,Style; Self; Debate,FALSE,FALSE,TASTE,Upkeep or fighting time itself
Is it okay to flirt for a discount?,Yes,No,Confession; Money; Norms,FALSE,FALSE,NORM,Charm as currency
Do you flush in the middle of the night?,Yes,No,Home; Habits,FALSE,FALSE,HABIT,Courtesy flushers vs let it mellow
Are you a better flirt than most of your friends?,Yes,No,Sex & Dating; Self,FALSE,FALSE,MIRROR,Smooth is a self-awarded title
Are you subtle when you check someone out?,Yes,No,Sex & Dating; Confession; Self,FALSE,FALSE,MIRROR,"Nobody is, everybody claims it"
Do you get ghosted more than you ghost?,Yes,No,Sex & Dating; Self,FALSE,FALSE,MIRROR,"Everyone's the ghosted, never the ghost"
Are you better at looking busy at work than your coworkers?,Yes,No,Work; Confession; Self,FALSE,FALSE,MIRROR,Everyone's Oscar-worthy at 3pm
Fight one horse-sized duck or a hundred duck-sized horses?,One giant duck,Hundred tiny horses,Humor; Fun,TRUE,FALSE,TRADE,One big problem or a hundred small ones
Pick your superpower: flight or invisibility?,Flight,Invisibility,Fun; Preferences,TRUE,FALSE,TASTE,Show-offs vs sneaks
Can men and women truly be just friends?,Yes,No,Relationships; Belief; Social,TRUE,FALSE,BELIEF,Harry and Sally never settled it
Do you believe in soulmates?,Yes,No,Belief; Deep; Relationships,TRUE,FALSE,BELIEF,Romantics vs realists in every group
"Before a night out, do you ask your partner or inform them?",Ask,Inform,Relationships; Communication; Norms,TRUE,FALSE,HABIT,Ask vs inform says everything
Would you rather double your salary or halve your working hours?,Double pay,Half the hours,Work & Money; Values,TRUE,FALSE,TRADE,"Money vs time, the eternal trade"
Would you rather be the one who loves more or is loved more?,Love more,Be loved more,Relationships; Deep; Emotion,TRUE,FALSE,TRADE,Attachment styles surface
Is being too cold better than being too hot?,Too cold,Too hot,Preferences; Debate,TRUE,FALSE,TASTE,Add layers vs just melt
"Are subtitles better on, even in your own language?",Yes,No,Entertainment; Media; Habits,TRUE,FALSE,TASTE,"Clarity fans vs screen purists, real divide"
Do you believe in an afterlife?,Yes,No,Belief; Deep,TRUE,FALSE,BELIEF,Ultimate worldview divide
Does power corrupt people or reveal them?,Corrupts,Reveals,Psychology; Deep,TRUE,FALSE,BELIEF,Two theories of character
Is calling someone without texting first rude?,Yes,No,Communication; Etiquette,TRUE,FALSE,NORM,"Phone-anxious vs just-call-me, huge gap"
Should the group cover the birthday person's meal?,Cover them,They pay too,Etiquette; Money; Social,TRUE,FALSE,NORM,Birthday math ruins friendships
"On a plane, which seat do you pick?",Window,Aisle,Travel; Preferences,TRUE,FALSE,TASTE,Views vs bladder freedom
Should a first date bill be split?,Yes,No,Sex & Dating; Money; Etiquette,TRUE,FALSE,NORM,The 50/50 date discourse never dies
Would you sign a prenup?,Yes,No,Money; Relationships,TRUE,FALSE,MIRROR,Romance vs the lawyers
Coin flip: double your savings or lose them all. Flip?,Flip,Walk away,Risk; Money,TRUE,FALSE,TRADE,Loss aversion classic; nerve splits rooms
Have you ever secretly watched ahead in a show you promised to watch together?,Yes,No,Entertainment; Relationships; Confession,TRUE,FALSE,CONFESS,Streaming betrayal is rampant
Is it okay to tell kids Santa is real?,Yes,No,Family; Ethics; Belief,TRUE,FALSE,GREY,Magic or a lie with a deadline
Should adult kids living at home pay rent?,Yes,No,Family; Money; Norms,TRUE,FALSE,GREY,Tough love or just cold
Should kids be paid for good grades?,Yes,No,Family; Money; Values,TRUE,FALSE,GREY,Motivation or bribery
Should couples split bills 50/50 or by income?,50/50,By income,Money; Relationships; Fairness,TRUE,FALSE,NORM,"Equal vs equitable, real fight"
Would you give up your picked plane seat so a family can sit together?,Yes,No,Travel; Etiquette; Fairness,TRUE,FALSE,GREY,"You paid, they plead"
Would you rather live by the sea or in the mountains?,The sea,The mountains,Lifestyle; Travel,TRUE,FALSE,TRADE,Coast people and mountain people rarely overlap
Would you rather never cook again or never clean again?,Never cook,Never clean,Home; Habits,TRUE,FALSE,TRADE,Reveals the chore people secretly despise
Would you rather give up cheese or chocolate forever?,Cheese,Chocolate,Food & Drink; Taste,TRUE,FALSE,TRADE,A genuine foodie agony with no right answer
"Would you rather take $50,000 now or flip a coin for $500,000?",Take the $50k,Flip the coin,Money; Risk,TRUE,FALSE,TRADE,Instant risk appetite reading
Would you rather have a stunning view or perfect water pressure?,The view,Water pressure,Home; Preferences,TRUE,FALSE,TRADE,Daily beauty vs daily comfort
Would you rather share a bed forever or sleep alone forever?,Share forever,Alone forever,Relationships; Habits,TRUE,FALSE,TRADE,"Cuddlers vs starfish, exposed"
Is karaoke joy or torture?,Joy,Torture,Entertainment; Social,TRUE,FALSE,TASTE,The mic splits every party
Is a surprise party a delight or a nightmare?,Delight,Nightmare,Social; Emotion,TRUE,FALSE,TASTE,"Introvert dread, extrovert dream"
Is a thumb a finger?,Yes,No,Debate; Humor,TRUE,FALSE,GREY,Anatomy vs common sense
Is watching a show at 1.5x speed acceptable?,Yes,No,Media; Norms; Debate,TRUE,FALSE,NORM,"Efficiency vs sacrilege, instant outrage"
Is a phone call better than a long text thread?,Call,Text,Communication; Technology,TRUE,FALSE,TASTE,Just-call-me people vs never-call-me people
Is 'let's get coffee sometime' a real invitation?,Yes,No,Communication; Social; Humor,TRUE,FALSE,NORM,Sincere plan or polite goodbye
Is a kid-free wedding reasonable or rude?,Reasonable,Rude,Family; Etiquette; Debate,TRUE,FALSE,NORM,Peaceful party or family snub
Is 'I don't care where we eat' ever true?,Yes,No,Relationships; Food & Drink; Humor,TRUE,FALSE,BELIEF,The most dangerous sentence in a relationship
Is a public proposal romantic or pressure?,Romantic,Pressure,Relationships; Etiquette; Debate,TRUE,FALSE,TASTE,Grand gesture or trapped audience
Do full moons make people act strange?,Yes,No,Belief; Fun,TRUE,FALSE,BELIEF,Every nurse says yes
Is everyone just winging it?,Yes,No,Psychology; Humor; Belief,TRUE,FALSE,BELIEF,Imposter theory of everything
Is being late a character flaw?,Yes,No,Etiquette; Norms; Belief,TRUE,FALSE,NORM,Punctual people are judging
Is a pet a full member of the family?,Yes,No,Family; Belief,TRUE,FALSE,BELIEF,Fur baby divide
Are most people doing their best?,Yes,No,Psychology; Deep,TRUE,FALSE,BELIEF,Compassion vs cynicism split
Is love a choice or a feeling?,Choice,Feeling,Relationships; Deep,TRUE,FALSE,BELIEF,Two theories of love
Can you truly love two people at once?,Yes,No,Relationships; Deep,TRUE,FALSE,BELIEF,Heart capacity debate
Would you live forever if you could?,Yes,No,Deep; Future,TRUE,FALSE,TRADE,Mortality as feature or bug
Do people mellow with age or just get tired?,Mellow,Just tired,Belief; Life Stage; Humor,TRUE,FALSE,BELIEF,Growth vs fatigue
Are our phones listening to us for ads?,Yes,No,Belief; Technology; Trust,TRUE,FALSE,BELIEF,Everyday conspiracy split
Should the middle seat get both armrests?,Yes,No,Travel; Fairness,TRUE,FALSE,NORM,Unwritten aviation law contested
Is it okay to cancel plans just because you're tired?,Yes,No,Social; Norms; Self,TRUE,FALSE,NORM,Self-care or flaking rebranded
Do you rinse dishes before loading the dishwasher?,Yes,No,Home; Debate,TRUE,FALSE,HABIT,Rinsers vs trust the machine
Do you eat your favorite bite first or save it for last?,First,Last,Food & Drink; Psychology,TRUE,FALSE,HABIT,A delayed gratification test
Do you wear shoes inside your home?,Yes,No,Home; Habits,TRUE,FALSE,HABIT,Shoes on vs shoes off households
Do you eat food past its expiry date if it smells fine?,Yes,No,Food & Drink; Risk,TRUE,FALSE,HABIT,Sniff-and-risk vs strict tossers
Do you wear headphones with nothing playing to avoid chat?,Yes,No,Social; Habits,TRUE,FALSE,HABIT,"Silent headphones, loud message"
Are you smarter than the average person?,Yes,No,Knowledge; Psychology; Self,TRUE,FALSE,MIRROR,"Statistically impossible, universally claimed"
"If you quit tomorrow, would your workplace struggle without you?",Yes,No,Work; Psychology; Self,TRUE,FALSE,MIRROR,Everyone feels indispensable until they leave
Do you do more than your share of chores at home?,Yes,No,Home; Fairness; Self,TRUE,FALSE,MIRROR,Both partners swear they do over 50%
"When you say 'five more minutes', is it usually five?",Yes,No,Habits; Humor; Self,TRUE,FALSE,MIRROR,Ask whoever's waiting on them
Are you your parents' favorite child?,Yes,No,Family; Confession; Self,TRUE,FALSE,MIRROR,Every sibling is the secret favorite
Wearing socks to bed: cozy or a crime?,Cozy,Crime,Habits; Debate,TRUE,FALSE,TASTE,Splits the cozy and the disgusted
Be known your whole life as the funniest person or the smartest?,Funniest,Smartest,Self; Humor,TRUE,FALSE,TRADE,"Charm vs brains, near even forever"
"Restart life at age ten, keeping everything you know now. Take it?",Restart,Stay,Deep; Life Stage,TRUE,FALSE,MIRROR,Do-over dreamers vs no-regrets camp
"Spend life completely alone, or never get a single moment alone?",Always alone,Never alone,Psychology; Deep,TRUE,FALSE,TRADE,Introvert nightmare either way
Your friend's cooking is bad and they ask. Be honest?,Be honest,White lie,Communication; Etiquette; Food & Drink,TRUE,FALSE,GREY,Kindness vs honesty at dinner
12 items in the 10-item express lane: OK?,OK,Rude,Etiquette; Norms,TRUE,FALSE,NORM,"Two extra items, endless rage"
Correcting someone's grammar out loud: helpful or rude?,Helpful,Rude,Communication; Etiquette; Debate,TRUE,FALSE,NORM,Pedants vs everyone else
Would you want to see your partner's location at all times?,Yes,No,Relationships; Trust,TRUE,FALSE,MIRROR,"Comfort or surveillance, pick one"
Do aliens exist?,Yes,No,Belief; Science,TRUE,FALSE,BELIEF,More believers in the room than you think
Do you believe in ghosts?,Yes,No,Belief,TRUE,FALSE,BELIEF,Half the room quietly believes
Would you listen in on what friends say when you're not there?,Listen,Stay ignorant,Trust; Psychology; Social,TRUE,FALSE,TRADE,Curiosity vs blissful ignorance
Would you read a list of every lie ever told to you?,Read it,Burn it,Trust; Dark; Deep,TRUE,FALSE,TRADE,Truth vs peace; debates split groups
Do you narrate your own life in your head?,Yes,No,Psychology; Self; Confession,TRUE,FALSE,CONFESS,Inner monologue famously splits people
Do you add finished tasks to your to-do list just to cross them off?,Yes,No,Productivity; Humor; Confession,TRUE,FALSE,CONFESS,"Fake wins feel real, and common"
Do you secretly feel relieved when plans get canceled?,Yes,No,Social; Psychology; Confession,TRUE,FALSE,CONFESS,Secret introvert amnesty
Have you ever finished a family-size snack in one sitting?,Yes,No,Food & Drink; Confession,TRUE,FALSE,CONFESS,Serving sizes are a suggestion
Have you ever played your absolute hardest to beat a small child at a game?,Yes,No,Fun; Family; Confession,TRUE,FALSE,CONFESS,Mercy vs competitive honesty
Have you ever told the hairdresser you loved a haircut you hated?,Yes,No,Etiquette; Style; Confession,TRUE,FALSE,CONFESS,The salon chair is no place for truth
Have you ever asked a question in a meeting just to seem engaged?,Yes,No,Work; Confession,TRUE,FALSE,CONFESS,Performative curiosity is rampant
Have you ever sat on finished work so it wouldn't look too easy?,Yes,No,Work; Confession,TRUE,FALSE,CONFESS,"Pacing optics, never discussed aloud"
Have you ever given yourself the bigger half when splitting food?,Yes,No,Food & Drink; Ethics; Confession,TRUE,FALSE,CONFESS,Tiny selfishness everyone recognizes
Have you ever pretended not to hear the doorbell so someone else would get it?,Yes,No,Home; Humor; Confession,TRUE,FALSE,CONFESS,"Household chicken, never confessed"
Have you ever told a kid a completely made-up fact just for fun?,Yes,No,Humor; Family; Confession,TRUE,FALSE,CONFESS,Chaos adults vs honest adults
